case,stem,mapping,pred_path,gt_path,shape,lumen_dice,lumen_iou,lumen_precision,lumen_recall,vessel_wall_dice,vessel_wall_iou,vessel_wall_precision,vessel_wall_recall
045,045_VL1,identity,sample_output/045/045_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/045/045_VL1_label_hwf.npy,512x512x351,0.661174092365698,0.4938462040475367,0.6239048498347144,0.7031788007345544,0.27276562893710793,0.15792044988617004,0.746288315460472,0.16687978826550037
046,046_VL1,identity,sample_output/046/046_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/046/046_VL1_label_hwf.npy,512x512x351,0.8434530737499571,0.7292856473059395,0.7796854490091082,0.9185804099751399,0.3286094420624848,0.196608411183073,0.8589638390996858,0.20316700708057708
047,047_VL1,identity,sample_output/047/047_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/047/047_VL1_label_hwf.npy,512x512x501,0.8105741143832099,0.6814834990436395,0.7627771782699656,0.8647615686313952,0.21704121311927077,0.12173091981502414,0.8615831053130905,0.12415904568994024
048,048_VL1,identity,sample_output/048/048_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/048/048_VL1_label_hwf.npy,512x512x401,0.8263669119688234,0.7041101008451387,0.7681214618541806,0.8941704606892888,0.3827483621783425,0.23666592954815738,0.857494997778456,0.24635531404576883
049,049_VL1,identity,sample_output/049/049_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/049/049_VL1_label_hwf.npy,512x512x299,0.7564359392455291,0.608280637176503,0.7076952231985155,0.8123870389381299,0.32480488825099946,0.1938907808248583,0.28861115502516843,0.3713781453265275
050,050_VL1,identity,sample_output/050/050_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/050/050_VL1_label_hwf.npy,512x512x300,0.7087322310422509,0.5488654236404479,0.6788442411249216,0.7413732322438883,0.3721357078935864,0.22860364325090796,0.7555086770274368,0.24686652673085197
051,051_VL1,identity,sample_output/051/051_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/051/051_VL1_label_hwf.npy,512x512x401,0.602596168648611,0.4312255019838164,0.5112119527465419,0.7337637251122384,0.24203571146763755,0.1376795382286754,0.6739605463137741,0.14750400277204184
052,052_VL1,identity,sample_output/052/052_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/052/052_VL1_label_hwf.npy,512x512x360,0.6963656145981914,0.5341724814841825,0.6334100328699563,0.7732168027602371,0.3561858868975002,0.21668258232997067,0.8576937351621438,0.22476313114272745
055,055_VL1,identity,sample_output/055/055_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/055/055_VL1_label_hwf.npy,512x512x451,0.746219283072345,0.595175275067979,0.7259639909389476,0.767637312352397,0.3998515901276325,0.2498840655408493,0.7727361207577043,0.2697051299308684
056,056_VL1,identity,sample_output/056/056_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/056/056_VL1_label_hwf.npy,512x512x401,0.7716809380036562,0.628241441396725,0.7236046155651368,0.8266002981142611,0.520885847912777,0.35216068156588126,0.8632478689692837,0.3729677418102004
